model,task,method,ASR_100,ASR_300,ASR_500,ASR_800,ASR_1000,ASR_2000,ASR_3000
codebert,VP,alert,10.942071386775892,36.044470450555885,46.45991808074898,50.146284376828554,50.55588063194851,51.02399063779989,51.14101813926273
codebert,VP,alert_DMAP,22.05968402574605,45.11410181392627,49.385605617320074,50.2633118782914,50.43885313048566,50.614394382679926,50.614394382679926
codebert,VP,wir,26.799297834991222,50.32182562902282,55.002925687536575,56.46576945582213,56.58279695728496,56.81685196021065,56.87536571094207
codebert,VP,wir_DMAP,35.69338794616735,53.42305441778819,55.70509069631363,56.23171445289643,56.290228203627855,56.34874195435927,56.34874195435927
codebert,VP,rnns,5.090696313633704,38.560561732007024,53.598595669982444,64.36512580456407,67.23229959040374,71.03569338794617,71.32826214160328
codebert,VP,rnns_DMAP,12.990052662375659,49.795201872440025,63.66296079578701,69.39730836746637,70.09947337624341,70.5675833820948,70.74312463428906
codebert,CD,alert,3.096774193548387,14.47741935483871,18.503225806451614,20.72258064516129,21.10967741935484,22.270967741935486,22.606451612903225
codebert,CD,alert_DMAP,8.412903225806453,19.070967741935483,21.34193548387097,22.16774193548387,22.451612903225808,22.941935483870967,22.993548387096773
codebert,CD,wir,9.212903225806452,29.548387096774192,32.567741935483866,33.10967741935484,33.13548387096774,33.13548387096774,33.13548387096774
codebert,CD,wir_DMAP,18.70967741935484,31.81935483870968,32.645161290322584,32.696774193548386,32.696774193548386,32.696774193548386,32.696774193548386
codebert,CD,rnns,0.07741935483870968,15.845161290322581,27.53548387096774,34.76129032258065,37.754838709677415,42.58064516129032,43.148387096774194
codebert,CD,rnns_DMAP,1.4451612903225806,25.470967741935485,35.199999999999996,40.825806451612905,42.090322580645164,43.38064516129032,43.483870967741936
codebert,DP,alert,29.583475588938203,72.99419597132128,81.25640150221919,85.14851485148515,86.42881529532264,87.72618641174462,87.72618641174462
codebert,DP,alert_DMAP,45.32263571184705,78.33731649026971,82.48548992830318,85.23386821440765,85.52406964834415,85.60942301126664,85.60942301126664
codebert,DP,wir,51.07545237282349,89.09184021850461,89.9453738477296,89.97951519289859,89.97951519289859,89.97951519289859,89.97951519289859
codebert,DP,wir_DMAP,68.29976101058381,88.11881188118812,88.13588255377262,88.15295322635713,88.15295322635713,88.15295322635713,88.15295322635713
codebert,DP,rnns,0.10242403550699897,37.09457152611813,64.44178900648686,83.49265961078866,87.60669170365313,89.26254694434961,89.26254694434961
codebert,DP,rnns_DMAP,1.297371116421987,61.94947080914987,83.61215431888016,87.52133834073062,87.72618641174462,87.74325708432912,87.74325708432912
codebert,CC,alert,5.714285714285714,12.380952380952381,13.714285714285715,14.476190476190476,14.666666666666666,14.666666666666666,14.857142857142858
codebert,CC,alert_DMAP,10.095238095238095,13.904761904761905,14.095238095238095,14.285714285714285,14.476190476190476,14.476190476190476,14.666666666666666
